white,red
6.133333333333334,5.733333333333333
5.8,5.466666666666667
6.1,5.533333333333333
6.033333333333333,5.7
5.833333333333333,5.566666666666666
5.8,5.566666666666666
5.966666666666667,5.466666666666667
6.033333333333333,5.8
5.866666666666666,5.5
5.866666666666666,5.6
5.9,5.633333333333334
6.133333333333334,5.433333333333334
6.033333333333333,5.7
6.066666666666666,5.5
5.933333333333334,5.766666666666667
5.733333333333333,5.6
5.933333333333334,5.733333333333333
5.866666666666666,5.7
6.0,5.633333333333334
5.7,5.666666666666667
5.6,5.6
6.133333333333334,5.7
5.9,5.7
6.0,5.866666666666666
6.0,5.633333333333334
5.8,5.966666666666667
5.9,5.466666666666667
5.9,5.7
5.766666666666667,5.6
5.7,5.7
6.1,5.5
5.733333333333333,5.833333333333333
5.6,5.433333333333334
5.866666666666666,5.566666666666666
6.0,5.733333333333333
5.766666666666667,5.366666666666666
5.7,5.566666666666666
5.666666666666667,5.9
5.7,5.6
5.966666666666667,5.533333333333333
5.666666666666667,5.466666666666667
5.9,5.533333333333333
5.766666666666667,5.7
5.833333333333333,5.5
5.8,5.5
6.066666666666666,5.5
5.8,5.633333333333334
5.966666666666667,5.6
5.766666666666667,5.7
5.833333333333333,5.733333333333333
